idReponsvel,idAluno,grauParentestco,telefone,nome
334666045856734230168007317341071475639,334662878631709559937827773697019347895,2º,81 8252 7337,Gabriel Nunes
334986910565993824054210795924560806839,334983743737109966392191413309814342583,2º,71 6004 7324,Pedro Henrique Cavalcanti
335622320667042711582832632775179502519,335619944931361558855322196474960544695,1º,+55 (051) 5123 2577,Isabelly Carvalho
336196726350606215801292554477022479287,336193555956455045000855322015081694135,3º,(031) 0258 1423,Augusto Fogaça
336710915857673191125680341357712114615,336707746572716295526152488755382191031,1º,+55 51 2824 7853,Gustavo Henrique Silva
337310674157100447362385925478736462775,337307505981337826957792301930403595191,3º,(011) 2801-5935,Paulo Moura
337759106032300158599110290394208011191,337754352976374602849401120225778467767,3º,0300-911-4656,Cecília Pereira
338411153334423579009810602493670065079,338407996171375548089777388372566999991,2º,(021) 9677-4138,Marcelo Azevedo
339096475830977690328554234523412595639,339094099223786749945010627446850192311,1º,+55 (011) 8094-4586,Laura da Mota
339603537180263257288937521658238075831,339600369400641449460766757080552178615,1º,+55 41 2564 4497,Maitê Almeida
340050383620702895582610569590391178167,340046422529489832422662141977483805623,2º,(031) 1351-7996,Isabel Farias
153858564263570996774613504103809975,150688962394025338430473398133195703,2º,+55 51 3953 9375,Dra. Manuela Pires
553961498014068533616031921091118007,549998109184292458130849925213455287,2º,84 7048 1874,Sarah Viana
1260674964621731108603993909539111863,1257515662413312303795360107822580663,1º,+55 (011) 5375 3380,Ana da Cunha
1624333339756479620781360159406687159,1621168016207709728693113337288065975,3º,81 2925-1568,Sarah Aragão
2311247530095502509033388897653228471,2308080384298994793900964757377385399,2º,61 4346 9224,Vitor Gabriel Moreira
2974380753630568845063801312379143095,2969627222336038012799809606882952119,2º,71 5052 1791,Isabelly Peixoto
3387160589524161246220402038656992183,3383197992976010311438951913705702327,2º,0500-049-5622,Maria Eduarda Rocha
4051882416945801095970210770634146743,4048714716552155778501155006265426871,3º,(011) 5082-2059,Amanda Sales
4355339827391223444808193648370123703,4352159767404225905722522966620898231,3º,81 5396-5640,Amanda Cardoso
4731661081284301795413828366193918903,4729283998724386325210931642170082231,2º,21 2468 8734,Srta. Maria Vitória Gomes
5032728019610343763635099664528966583,5029558972337935707183423669401813943,1º,+55 (031) 0584 2755,Helena da Rocha
5458183410768268285066720087801856951,5455013491986072569948674909203071927,2º,(084) 9871 9055,Samuel da Cruz
5899489663487771616565586483841598391,5894730744678189813963254222423327671,1º,+55 41 7883 5863,Leandro Caldeira
6287701955379965841868710610290869175,6284533938073670468422323957385135031,3º,(021) 0668 0191,Carolina Gonçalves
6770202336601623316808525224106787767,6765447696112817286124236878052066231,3º,+55 (081) 5581 1980,Emanuelly das Neves
7281223509449653207641386330171376567,7278053828351945035836801164142445495,2º,61 8992 7762,Pietro da Paz
7598927252709415486604245260887655351,7595759235403120116567927950831518647,3º,(021) 0742 3238,João Vitor da Costa
8177294265170470409161753794061796279,8173331510165994452321893771670455223,3º,81 2162 6889,Bernardo Costa
8539367284773308489424672187922777015,8536197286762950260401451486062838711,2º,+55 (061) 4137 4659,Benjamin Caldeira
9200138558327499577499845955925836727,9193791669456644374445578445708854199,3º,(041) 8044-5214,Evelyn da Paz
9811770386329956036473333788270920631,9805434034804715234540259791392211895,1º,+55 31 9326 9757,Ana Luiza Sales
10547800808369096875620815900812510135,10543058131332830500726127524787258295,1º,+55 51 0600 4456,Lorenzo Cavalcanti
11672085830139214560741630701528679351,11667332932669983843287301461882700727,3º,(084) 1730 8825,Ian Jesus
12313043011758375793492034647400645559,12307495851959939577754564888891753399,1º,(071) 3658-6999,Dr. Raul Costela
13036393204071596166684940081735926711,13033224315255513136157732789169685431,3º,(071) 8168 7920,Sabrina Gonçalves
13789062490976682689609078029892715447,13785893760616924688491281126542017463,2º,0500-092-2351,Olivia Silveira
14790506465156983915086298153226601399,14786549414580208984195066205663658935,1º,+55 (041) 2059 9223,Bruno Correia
15471870168114744989847506292515799991,15467910423780444574694438654418617271,1º,+55 51 6209 2464,Cecília Rocha
16081951817889447355653394932145849271,16078756308410759528756823477700527031,3º,(061) 4181 8595,Vitor Hugo Araújo
16808448398220596706823324514881110967,16803694866926065877909166507218437047,1º,(031) 6688 2768,Dr. Alexandre Campos
17895459580197928562640046883927753655,17891495240630202316410092780169462711,3º,(051) 4340 7823,Clarice da Costa
19262937427509643486431816559244870583,19231246558644750323181365083332936631,1º,+55 (021) 4077 4539,João Miguel Sales
19777918423920136311931591212604326839,19774749931244865849491361455398978487,1º,+55 81 1413 9202,Luiz Felipe Pires
20345984032234761554091107597286638519,20343606791218521052129328853443412919,1º,+55 61 2685 1842,Henrique Monteiro
20877605557302612859665621244839199671,20874436510030204797727716478644650935,2º,+55 84 5171-1622,Sra. Stephany Cavalcanti
21535198276204894176674482081902101431,21532821906698441329115852524270912439,3º,11 9487-3665,Samuel Lopes
21853695568740399325311759608589845431,21850526363011666238046394565437686711,2º,+55 84 5523-5957,Theo Rodrigues
22710944841741877058082738717921117111,22708567521497474044781991813487788983,2º,+55 (041) 7979-2259,Kevin Cardoso
23157000030522485396357114541409305527,23153831696303539963381745743831499703,3º,+55 (084) 1182-2224,Maria Cecília Aragão
23732988772001187128124119195352040375,23729819170131641471341883735148856247,2º,0800 306 9085,Maria Eduarda da Paz
24376320263194575837306203362742764471,24373944923654235677245485250611774391,3º,11 8784-8757,Vitor Farias
24788307579778538048871683102037246903,24785137581768179819080880138687349687,2º,+55 (011) 0737 9921,Esther Araújo
25551274705562741105694253820175188919,25548896513808550430693681908259488695,3º,+55 (061) 1295-4083,Sr. Davi Lucas Mendes
25982276226552989156724956693969241015,25979106941596093555198913231970370487,1º,84 0587-8033,Eduarda Caldeira
26547171599172768627910412726478046135,26544003581866473255679435023008924599,2º,+55 21 7786 7269,Laura Costa
27075627800691850045101171720400929719,27067702211454735610488971883798856631,2º,+55 (051) 1354-3778,Breno Campos
27645274248533122404299134928741991351,27642105280488876859157153696627033015,3º,+55 41 1502-1818,Samuel da Paz
28286232143205746266132264658286150583,28282269229744945280076930505632908215,1º,51 3313 7786,Daniela Ramos
28775863851335312674862515774887822263,28771897927204336142949493033041920951,3º,0800 576 1040,Nicole Castro
29193393970168772819258045117812179895,29183886590667061098743723619028042679,2º,(061) 4998 9890,Olivia Pereira
29624396283440646016337689670267962295,29618057158929717208752058928950674359,2º,+55 (011) 9241-1609,Lucca Oliveira
30191668421707690899622731039168005047,30189295775924876227631923577489720247,3º,0300 692 4988,Olivia Cardoso
30736758021349504512988070367411307447,30733589766358721599471096908619187127,3º,(061) 4759 2624,Ana Julia Duarte
31486266976080059547414300978223252407,31483087233005712060051748387006186423,3º,+55 (071) 1623-6693,Anthony da Cunha
31814260793859011962523349423967437751,31810298910364323661684009080621106103,1º,81 8390-7615,Dra. Ana Luiza Ferreira
32430657086642426222100931182332216247,32427486296350442848451906284059624375,1º,(081) 5473-4896,Sra. Caroline da Mata
32839473058337267461947633571218064311,32836307338647685005394710689027982263,1º,41 3414 1378,Thiago Vieira
33260982094720356476856012809378726839,33256225948896462674772978142126801847,1º,+55 21 3277-0443,Sr. Murilo Peixoto
33874988707666015497339425566520247223,33868648394732648978615021163195401143,2º,81 2294-9481,Miguel Aragão
34327376761932714008432648143688172471,34325000709338911222337578245661393847,3º,21 1605 7718,Daniela Silveira
34716388545212839678728776027390346167,34713220210993894245888233743656944567,3º,11 0906 8249,Gabriel da Mata
35214733845883887391188091123431375799,35211575890554231328630564982037414839,3º,+55 (041) 2859 4381,Maria Clara Pereira
35977700020930140275084458664181105591,35975323096826549830791393943929226167,1º,11 2665 4314,Dr. Marcelo Costela
36537052432844096785515516680969913271,36533110435618199560902711283227558839,2º,(061) 2116 3329,Rebeca Duarte
37162161842800017264400880311139042231,37159785948662539504618151633580458935,1º,31 8780-2824,Sr. Isaac Fogaça
37466400601384155290820356097226048439,37462443154666567788168053743298020279,3º,61 8558-2635,Caio da Mata
38200050850965042601662216785929438135,38197673926861452159046461451896357815,1º,0500 530 9432,Davi Lucas Freitas
38704733612355606316906001893257642935,38701564089714223171468927043132195767,2º,+55 (081) 8418 1832,Luana Melo
39180103142038329942526764657777312695,39177727406357177213154652861594076087,2º,+55 (081) 4694 8958,Mariane Almeida
39727569031958433887990127299087565751,39724401173108463541184563164471362487,1º,(011) 7951-5302,Felipe Nunes
40083304590841755961629256999328023479,40080133642093447560216605900667093943,3º,(071) 5998-7822,Dr. Isaac Gonçalves
40601456615228719704809840704095519671,40598288994063236901447778021289493431,2º,+55 84 7947-4343,Sabrina Pires
41229736973932948587664211171411755959,41224986136395943237193801085674062775,1º,+55 (084) 6953 8777,Luiz Gustavo Pereira
41738380588852087920239614446436352951,41735210670069892203302677968333308855,1º,+55 (011) 0473-0419,Ian Nunes
42445888080104468453187365618774705079,42441926275837942664880447337271657399,1º,+55 (084) 1812-0074,Gustavo Henrique Ribeiro
43147852769107351054162439966543840183,43144687207874093624376721867186373559,3º,71 5819-2355,Sra. Brenda Melo
43602623610361666069160978526012441527,43597866276115334551785443965433807799,3º,31 3410-5239,Srta. Isadora Costela
44119978520205573794172208146395956151,44116018458958623319437804017958519735,2º,+55 61 6085 5238,Murilo da Paz
44718945409517475042780956141652542391,44714983288338299197920246219309056951,2º,81 1518-3796,Maria Sophia Fogaça
45234719400606573137363099672543232951,45232346120998458347975030284113675191,3º,+55 (041) 2997-5897,Vitor Hugo Sales
45668889414272091648965319933160588215,45665721317737633759900701048732648375,1º,+55 81 7673 1926,Murilo Cardoso
45996101963140490906863812683835376567,45992932836639920334223073204416807863,3º,+55 21 0390 9984,Manuela Pereira
46316977764342836787140459206245876663,46313805389487603131534249936604627895,3º,+55 (051) 3693 6904,Caio Moura
46705987804603387144825591457326039991,46700439773295163267286965699718939575,1º,(051) 9983 2330,Isabelly Jesus
47026861149732695080114133436020818871,47023691389406824392041671792221488055,1º,61 7735 5291,Srta. Carolina Araújo
47716937811406637346829887762770166711,47713768526449741744920193907514672055,2º,+55 21 8555 7579,Maysa Rocha
48061579922202874647254560213047706551,48057620811693874343017793162938942391,2º,71 7008-7716,Isaac Rocha
48433963219506344000638253336346493879,48430783476431996515863018731053777847,3º,+55 (071) 9055 3854,Dr. Pedro Miguel Fogaça
49090753515578680849887814690153956279,49087585339816060443539194662030148535,3º,(031) 7933-1653,Kamilly Silveira
49458374645717905317684846938372178871,49455231109913826851656442012252767159,1º,84 1650 9652,Ana Beatriz Novaes
49902072955120039316037436306067030967,49898882357787427377854377193529148343,1º,71 8112 4955,Beatriz Dias
50626987507502103837468240757368554423,50623818222545208235043166219755848631,2º,+55 (084) 1370-1316,Dra. Catarina Pereira
50924093750755895220436812956346614711,50920923831973699501590913186191901623,1º,(021) 6311-5904,Theo das Neves
51237046181109677067670914006987834295,51233085089896613905244099224143135671,1º,0300-580-8706,Srta. Luana Barros
51634770923105983928931077635105358775,51631602271974388440765381983873532855,3º,+55 71 5328-1318,Pedro Henrique Martins
51972288679072613547173758091737170871,51969113372775366858507431722807985079,1º,81 8097-2064,Gabrielly Silva
52456366334553604992967993599593808823,52453989568906339577887869734813434807,3º,41 3764 6354,Mirella Melo
52834285541256433541088624497899340727,52830324291587045352142584386704114615,2º,(041) 9642-5691,Dr. Igor da Mata
53416612852648926480214001744536142775,53412650256100775549707030615912874935,3º,+55 71 5434-8351,Maria Clara Caldeira
53801664653910264189688219372456510391,53796907240435770158962014992736715703,2º,+55 81 3812 6307,Henrique da Paz
54174825892541461103250256240708944823,54172448493068895575118281139636405175,2º,81 7696-3332,Igor Silveira
54828456886405379149383129877807629239,54826080041529951218159541474962965431,3º,+55 41 4580 6746,Luna Costa
55364039344229968585203926773272937399,55360871247695510693883004475532379063,1º,(021) 0582 3475,Ana Laura Duarte
55923393499163500408303682792909439927,55919442786839726614743502069596160951,2º,+55 41 6222 6963,Maria Alice Barros
56540600058364948049090415464437515191,56537408510294385936858068017435902903,3º,+55 (081) 4865-3547,Eloah da Conceição
56920874005285863046152860226289927095,56900273336153391573632718420293452727,2º,41 1581-5554,Cecília Gonçalves
57299582958312633778483678719666029495,57296415020234500919224786991662236599,3º,+55 (041) 3936 8412,Milena Monteiro
57710777280217990718787047361781957559,57708401386080512964045816992087933879,1º,0800-285-5476,Luiz Gustavo Azevedo
58102956209294624107383318773661696951,58100579681331846235389504615245677495,3º,(061) 8912-3075,Nina Barros
58427794131676145834793867130330940343,58423833040463082672953083248997827511,1º,0800-623-4008,Dr. Murilo Porto
58918226044247106307926397263242593207,58914253306494153550811283874946220983,2º,(084) 5791 6103,Nicole Caldeira
59564717392246051422254993046820357047,59560754241100762889460366940051866551,2º,81 1182 6504,João Felipe Fogaça
59998888198193195073603085832617722807,59994926156242181745527603395238822839,2º,(031) 5238-0075,Raul Silveira
60349076676506243448886137259987043255,60345907629233835387306268664168448951,2º,51 9066 0485,Dr. Lucas Gabriel Gomes
60632712785253847150333290907588363191,60629543658753276576845593223247430583,3º,(011) 1153 6753,Leandro Correia
61234054459508950956020703269285528503,61231677693861685541543498804619379639,1º,+55 81 4959-8621,Emanuella Lopes
61861553311618139136638001320701461431,61857580494637023864309979667346228151,1º,(071) 1525-0993,Ana Luiza Nascimento
62229160656057086121268793439202575287,62226784128094308247275099571257344951,3º,+55 (081) 0074 7687,Eduarda Santos
62645900870110279052073153770488595383,62642731268240733393300608749964362679,1º,+55 (021) 1986 4001,Emanuel Martins
63123646293930480435272696144922411959,63119685044261092249442021075960726455,3º,31 9133-9107,Pedro Henrique da Rocha
63533255656444739519806378624688587703,63530085975347031347431525155843867575,3º,+55 11 7885 8531,Fernanda da Paz
63832737635379683631608038039448978359,63829568191966463000886505170534663095,3º,+55 (071) 3771-0477,Srta. Maria Sophia Nunes
64227294518526020144594464054427517879,64224917673650592214700844916540703671,2º,0900 730 1342,Matheus Pinto
64688404008922288876845532311724491703,64683651507593870727071167791115797431,3º,84 7428 2457,Pedro Henrique Ferreira
65235870691124017963237525330352931767,65233491865544527176555885318725960631,2º,(011) 4352-1604,Maria Fernanda Farias
65721537980457695608215974844179940279,65719160818669617620390181104500605879,3º,+55 71 5677 5901,Cecília da Rosa
66394984016994593675484978494482678711,66391809106838159561821188363718493111,1º,(071) 5616 1397,Dra. Mariane Monteiro
67005033183222665192681925775167062967,67001864294406582162252671774496129975,1º,0800-780-7085,Esther Souza
67745826010110538461409572319092016055,67742647376230466175423085098872079287,1º,84 6885-9308,Enzo Gabriel Novaes
68425594057875262249127677929938224055,68421634313540961836062873144057398199,3º,41 0581-5309,Maria Fernanda da Paz
68907302949753402224266896687579268023,68903350177497403059991283044104537015,2º,+55 (021) 1963 7375,Dr. Davi Lucca da Rosa
69338303123864887534795858881307476919,69335134472733292047563815727824896951,1º,+55 (041) 2338-1467,Caio da Conceição
69806542039693164853054883371308811191,69804164640220599324328151644446655415,3º,71 2038-5380,Cauã Cunha
70209019996071352492280143102511154103,70206643071967762044806974095382283191,1º,+55 (081) 6738-5203,Evelyn Lopes
70537025856531007077973990917905056695,70534650358534341890057885762978055095,1º,+55 (081) 4772 0552,Felipe da Cunha
71119352771782687444341031915690918839,71116975451538284428177965973086929847,1º,81 1327-4743,Sr. Antônio Rodrigues
71580469234257257430960969778729321399,71576497605698579870931117216452838327,3º,71 8924-3163,Cauã Rodrigues
72181008089541604194234730965197128631,72178632908457589066804059925805007799,1º,81 4613 5599,Beatriz Cardoso
72720554253108619760855448649900229559,72717383858957448959431646394588595127,1º,(021) 1776-4566,Alice Pires
73145216570359776497773085873678844855,73142840042396998625256572683511137207,2º,11 6875-7958,Srta. Maysa Rodrigues
73856686975072958019084547482674529207,73851933126865777133824607841960592311,2º,+55 84 0318 3625,Miguel Nunes
74431882246504079396623384561397793719,74429504371662538781624672755028067255,2º,81 8110-5985,Eduardo Sales
75115621051317693089007237977818268599,75112451924817122516966321673770107831,2º,+55 (084) 6965 0074,Davi Lucca Peixoto
75694781613054490880149293997140214711,75691609634340069792943062436962108343,1º,+55 21 8878-4235,Agatha Ribeiro
76159848074799372027566964429281297335,76157483431060971298393479015196525495,1º,(051) 5686-7822,Olivia Ferreira
76536975396017870505908510092555453367,76533013433295019690100300288958399415,1º,31 7766 2445,Dr. Nathan Almeida
76983029396376041125029393767176864695,76979859794506495467408925826329346999,2º,(071) 8583-7044,Bárbara Pinto
77561393239710595477000169234687591351,77558231481429138729834377496569840567,2º,+55 41 9901-4093,Davi Lucas Campos
78066080675562747534675853041939514295,78062907746110376274674867118497072055,2º,+55 31 6451 9163,André Porto
78851233429870519921586032404674642871,78848061292699773802047554297117541303,3º,+55 (011) 2202-2007,Luiz Gustavo Rodrigues
79427217734572120853555399252460700599,79424839146677117610858537072858497975,3º,0500 282 7299,Alice da Rosa
79824162950677449867782088694513796023,79820194491245272884260076807986086839,3º,11 8532 1631,Camila Nunes
80407269391820108082450648648445592503,80404100186091374995765966482247517111,3º,+55 (011) 5434 4828,Carolina Cardoso
80946036346408795859183344188970501047,80941267920219712347264578478363902903,3º,+55 (031) 5166 2302,Sra. Joana Dias
81475265656337691468503450199930438583,81472095816783658264255435870721803191,3º,+55 (061) 9337-6480,Carlos Eduardo Cunha
82178032134345218422179900635646002103,82174057415888202809050259609610355639,2º,0800-281-9494,Ana Clara Farias
82910088630208968792534189642506044343,82906127618224068147156625872780526519,3º,+55 11 9859-7454,Marcela Viana
83337136903574242598296643456502858679,83333957398184382657722077990371984311,2º,+55 (011) 6672 8744,Breno da Luz
83953522579783879948124104616709456823,83951145734908452016927537811629015991,1º,81 1433 5160,Raquel Dias
84320349051453086345165075723598431159,84317181747200253597380367987423577015,3º,31 1391 0898,Gustavo Henrique Oliveira
85005671231094547610044409514970842039,85002502659191114632538482905526305719,2º,21 4418 3890,Clara da Rocha
85506396941908336392534724228818404279,85502434028447535402894243297801536439,3º,+55 (011) 1710-7748,Dra. Luiza Jesus
86236086258732485572408881304299635639,86232126039029210066810685581982696375,1º,+55 84 1692 7892,Ana Luiza Ferreira
86946761608834836452051858420383613879,86942801468359723459654024879644345271,2º,(041) 7036 7877,Maria Luiza Rezende
87375395475416508226818526892907561911,87372216841536435944713579601527571383,2º,71 2035 0222,Alexia Silveira
87800843181442668868425357001683633079,87797672866519660577088522210553103287,3º,0300 468 2482,Rafael Costa
88487751588125828215464058004328154039,88483788912349514770574529791942460343,1º,+55 (031) 1584-1804,Lorenzo Farias
88858538121041985086273974069537014711,88855368836085089487948864042691724215,3º,+55 (011) 9382 0933,Srta. Stella Azevedo
89391744288588284193743179591954203575,89388574369806088477157805359762768823,2º,41 7656 0890,Maria Eduarda Castro
89959810055359234464116400664785191863,89956639978120713719814125078339388343,2º,81 8298 0180,Eduardo Cavalcanti
90382887096306643287993924794668286903,90379718682859535340612355015284360119,3º,+55 51 6722 0558,Carolina Santos
90996907811865229844191135978844586935,90993750807273523951907192834317616055,3º,(061) 8569-0313,Sr. Vitor Hugo Cardoso
91393839004585793834412008848920675255,91390668451978298005156463448856724407,3º,(071) 2246 4549,Enzo Gabriel Cavalcanti
92053024922608074493051966355784598455,92049054482471834650543895502383219639,1º,(031) 3198 5644,Thomas Martins
92429359724516942780644684452864459703,92426181407549520553868549703680132023,2º,+55 (081) 6699-7634,Luiz Otávio Porto
93275507151246109222690407550902600631,93272337945517376135394924685242401719,3º,+55 71 0159-1219,Juliana Caldeira
93936271294265674028126149079720002487,93933101692396128368674123465416246199,1º,41 4791-0625,Luna Freitas
94207230500870182863000128154857898935,94204062562792050000054195706921223095,3º,61 6490 6614,João Miguel da Costa
94704783282231600386557373006903247799,94701614234959192327323035392014549943,1º,+55 81 0968 7937,Sra. Ana Luiza Duarte
95253834369227289734820758890597319607,95249875417174614460351438400080053175,1º,21 7932-7755,Henrique Gonçalves
95570746940056184571003499117365429175,95567577258958476397378052326995264439,1º,+55 21 1629 8609,Nathan Fogaça
96145943716822393717178124145894097847,96142773718812035487893413190669960119,1º,11 0765-0869,Stella Oliveira
96539709506766025305167769209305039799,96535759665952039167878042667702289335,1º,+55 (071) 9042-6678,Larissa Jesus
97060236474552516629934540950312584119,97057068219561733713444628787502515127,2º,0300 695 3451,Olivia Cardoso
98086243159816302658268755279915254711,98083074033315732082915722924912804791,1º,(041) 4152 8030,Maria Luiza Correia
98969639786379712993316411000163140535,98967259217780646894784602217963062199,1º,+55 71 7144-0732,Maria Eduarda Alves
99794404086643417090559331610573145015,99788064328307188174674836089699828663,2º,+55 (051) 4535-6993,Srta. Vitória Cardoso
100161227072273472860774748509897491383,100158058500370039888360422754172011447,1º,71 0924-2676,Laura da Rocha
100798222291169783277808140544626656183,100795059899063026415217382041569199031,3º,+55 (071) 7045-6351,Enrico Monteiro
101182485455301453996913150821929321399,101178527295530403864494419965898916791,1º,+55 (071) 8709-3381,Vinicius Farias
101521575256468691649338912503620699063,101517613927571140950083539696642950071,3º,+55 (021) 9473 3141,Agatha Martins
102091225665718089725709886186827547575,102086470866772958662911212925367878583,3º,0900-561-9399,Dr. Vicente Duarte
102700490314680944995322105120218678199,102697321108952211905628736927960400823,1º,+55 84 3945-8383,Carlos Eduardo Moraes
103142584491476652682885810790244549559,103139415048063432053612748151483270071,1º,(051) 0381 9702,Davi Lucas da Conceição
103797007608509388342369060753611424695,103793839511974930454016573560261444535,1º,+55 84 8058 5380,Maysa da Costa
104448263500517453766771724778440229815,104445094611701370737620367172035675063,2º,+55 84 8219 8568,André Barbosa
104952946974961480110167116446481777591,104948191938331861510044770676855014327,3º,+55 (071) 4473-2957,Brenda Martins
105700859482217372714960630313962963895,105697691385682914830029752937507718071,1º,(041) 0550-0077,Anthony Porto
106560489403046079063678868163314058167,106557315602083920147962215237257790391,2º,+55 (071) 2307 2253,Arthur Silva
106923353753536109614972764646197691319,106920974848728456317359169290304226231,1º,0900 403 3107,Leonardo Pinto
107487461122851522211640414682745144247,107481909447047822684259683999410291639,2º,0900-740-1903,Gustavo Henrique Cunha
108714705122512989260469359402683728823,108630720021893205975082734978393703351,2º,+55 61 4530-9641,Juan Gonçalves
109608395071950252815548253177095914423,109606016167142599514640837643734352823,3º,+55 (061) 8183 5798,Maria Fernanda da Cruz
110141606706239765407494880484342891447,110134481083759557503247788983957324727,2º,51 6662 0190,Luigi Cardoso
111036083945927933211213165605918344119,111033707576421480365862144290628830135,1º,61 7182 7758,Catarina Duarte
111929778332142297568296742478875460535,111927401645723194667147408360236909495,3º,21 1796 8219,Thiago Cavalcanti
112496259614891125065954435535108047799,112493089775337091862487232791294772151,3º,51 1112 6102,Noah Nunes
112839319935422765075580166153368241079,112836149541271594274803193394537694135,2º,+55 (061) 7104 5297,Alana Azevedo
113567427145069666911578650143298421687,113564255483267895878967144386054587319,3º,0500 271 4145,Davi Lucca Lima
114360499071133390071052222839761666999,114354952703616578995408247202670445495,1º,+55 51 3245 6291,Francisco Ferreira
114820021779890823115964394996916028343,114816853366443715169708725124374725559,2º,0800-418-4381,Dra. Ana Vitória da Rosa
115588534560138374621061553751710761911,115586158111403759258750227515942634423,3º,+55 (011) 1964 9743,Dr. Fernando da Cruz
116239003003439210771936467116087313335,116235830153215002026739687791519859639,1º,0300-592-2530,Melissa Souza
117154084319070838159428096440905499575,117150914162604154899307741389472924599,2º,+55 11 2716-3469,Bruna Gomes
117936861575381945354460691826487854007,117932899137290119451616860331567219639,1º,21 0918 5085,Luiz Miguel Barbosa
118622181932775668792439078168813634487,118619805404812890917588855946737877943,3º,81 9701-5066,João Vitor Nogueira
119362963667720790062557868999101907895,119359002972648539473890596957267952567,3º,+55 (011) 1756-0952,Rebeca Cunha
119920730248733861056492474840547328951,119916770821312210695447181295674983351,2º,71 1026-1979,Bryan Rodrigues
120502267417661599236209784620111365047,120499097340423078490731506580968440759,3º,(011) 2861 9686,Ana Cardoso
121243049311063045536963246413236667319,121239087189883869689457797609719858103,3º,+55 (061) 3080-1110,Lívia Costa
121856275368151614023525229813345551287,121852322199754802292192555574294217655,1º,21 3288-8565,Sophie Gonçalves
122342739217431210086435923638748447671,122334021346568953006933171512962974647,2º,(011) 3886 1285,Stella Vieira
123226923134245524664232543868535702455,123220583534365620776193020816320103351,1º,+55 (061) 0159 7735,Camila Correia
123678523343664181330236792612350854071,123674561777082143084288289747438404535,1º,81 6760-7836,Ana Clara Azevedo
124412967617889786597437131342437680055,124409006130535910866413869316385801143,1º,+55 51 0777 3893,Stella Monteiro
